Tweet,Message,Matches,Polarity
1,Happy Canada Day all Proud to be Canadian HappyCanadaDay,,neutral
2,"RT JustinTrudeau Happy Canada Day We have a lot to celebrate, and its all thanks to Canadians like you.",like,positive
3,RT KITHOnline Happy Canada Day ,,neutral
4, AndrewScheer While you cross this beautiful country please keep in mind as the potential PM how can you make Can,beautiful,positive
5,RT Paulatics Paula Simons My Canada includes Alberta,,neutral
6,Happy Canada Day There are so many reasons to be grateful for this amazing country. What are you doing to cel,"grateful,amazing",positive
7,"Waaaawaaa, so is this the birthday of the first humans setting foot on this piece of earth, or the first white peop",,neutral
8,"RT skinnyghost oh hey it's canada day great well enjoy not working, some folks, and don't forget that nationalism is a virus and nation s","great,well,enjoy,virus",positive
9,RT davidgerow Canada Day ,,neutral
10,RT JBCrewdotcom Universal Music Canada via Instagram Happy Canada Day from your friends at Umusic justinbieber,,neutral
11,Of course theres something wrong with my tonsils again but every doctor is closed for Canada day,wrong,negative
12,"RT VancityReynolds Happy Birthday to my 152 year old lover, Canada. CanadaDay",,neutral
13,"RT JustinTrudeau Happy Canada Day We have a lot to celebrate, and its all thanks to Canadians like you.",like,positive
14,RT Yogiwankenoby Just made a donation to People's Party of Canada,,neutral
15,RT enews OOOH Canada. Thank you for these Ryans. CanadaDay,,neutral
16,"RT lights Hello, am flag Got a sale up in the Canadian store on a bunch of designs, happy Canada Day https t.co YJ8pgCLnEj http",happy,positive
17,RT canukbloom Happy Canada Day from Doheny Beach California,,neutral
18, KissMeAgain99 Happy Canada Day. Taylor. Beautiful Beautiful. Canada. . ,,neutral
19,News Canada,,neutral
20,"RT TheBessaks Svp lisez attentivement. Sa mere est gravement malade et d au circonstances, il doivent rammaser assez d'argent pour la ra",,neutral
21,A beautiful day for the St Marys Canada Day Parade Starts at 11 AM HappyCanadaDay,beautiful,positive
22,"To search for your nearest women's shelter in the US and Canada, visit",,neutral
23,RT rugbyworldcup Happy Canada Day DTHVDM with an RWC classic... RWC2015,,neutral
24,"RT ExploreCanada Canada is more than you ever expected. When you come here, its more than travelling more than a vacation. Its a journ",,neutral
25,RT CBCMontreal Self driving buses hit Montreal streets for first time as part of pilot project,,neutral
26,First Race of MANY Miss M thoroughly enjoyed her first race. This Canada Day race will be added to our yearly,enjoyed,positive
27,"RT CBCIndigenous Two thirds of Indigenous people don't feel respected in Canada, according to pre election survey",,neutral
28,"RT N Doemostmuted Happy Canada Day tell those motherfuckers to let me in though , Canadian pussy is on my bucket list",,neutral
29,RT darlingddesigns McArthurMooney I run the other way screaming when I see Canada Proud and immediately unfriend unfollow anyone promoti,,neutral
30,RT CanadianPM Prime Minister Justin Trudeaus statement on CanadaDay ,,neutral
31,Happy Canada Day CanadaDay2019,,neutral
32,"Clarion West Update, Day 10 I think this is the first time I've been out of the country on Canada Day. Kind of weird.",,neutral
33, ChrisKirouac I remember when Canada's Wonderland opened in the early 80s they had a marina. It didn't seem to go,,neutral
34, lights The most pretty canada flag ,pretty,positive
35,"It is our time, Canada CanadaDay2019 CanadaDay",,neutral
